device_id,timestamp,co,so2,no2,pm1_0,pm2_5,pm10,temperature,humidity
node_01,2026-04-27T17:02:20,0.0,0.0,0.0,7.0,9.0,10.0,28.9,40.6
node_01,2026-04-27T17:03:22,0.0,0.0,0.0,7.0,9.0,10.0,29.0,44.0
node_01,2026-04-27T17:04:22,0.0,0.0,0.0,7.0,9.0,10.0,29.0,42.1
node_01,2026-04-27T17:05:23,0.0,0.0,0.0,7.0,9.0,10.0,29.0,41.8
node_01,2026-04-27T17:06:23,0.0,0.0,0.0,7.0,9.0,10.0,29.0,41.6
node_01,2026-04-27T17:07:29,0.0,0.0,0.0,7.0,9.0,10.0,29.0,41.5
node_01,2026-04-27T17:08:30,0.0,0.0,0.0,7.0,9.0,10.0,29.1,41.6
node_01,2026-04-27T17:09:37,0.0,0.0,0.0,7.0,9.0,10.0,29.1,41.8
node_01,2026-04-27T17:10:37,0.0,0.0,0.0,7.0,9.0,10.0,29.1,42.3
node_01,2026-04-27T17:11:38,0.0,0.0,0.0,7.0,9.0,10.0,29.1,42.6
node_01,2026-04-27T17:12:38,0.0,0.0,0.0,7.0,9.0,10.0,29.1,43.0
node_01,2026-04-27T17:13:45,0.0,0.0,0.0,7.0,9.0,10.0,29.2,43.3
node_01,2026-04-27T17:14:46,0.0,0.0,0.0,7.0,9.0,10.0,29.2,43.7
node_01,2026-04-27T17:15:53,0.0,0.0,0.0,7.0,9.0,10.0,29.2,44.0
node_01,2026-04-27T17:16:55,0.0,0.0,0.0,7.0,9.0,10.0,29.2,44.5
node_01,2026-04-27T17:17:57,0.0,0.0,0.0,7.0,9.0,10.0,29.3,44.6
node_01,2026-04-27T17:18:57,0.0,0.0,0.0,7.0,9.0,10.0,29.3,44.8
node_01,2026-04-27T17:19:57,0.0,0.0,0.0,7.0,9.0,10.0,29.3,45.0
node_01,2026-04-27T17:20:58,0.0,0.0,0.0,7.0,9.0,10.0,29.3,45.1
node_01,2026-04-27T17:21:59,0.0,0.0,0.0,7.0,9.0,10.0,29.4,45.3
node_01,2026-04-27T17:22:59,0.0,0.0,0.0,7.0,9.0,10.0,29.4,45.4
node_01,2026-04-27T17:24:00,0.0,0.0,0.0,7.0,9.0,10.0,29.4,45.4
node_01,2026-04-27T17:25:00,0.0,0.0,0.0,7.0,9.0,10.0,29.4,45.5
node_01,2026-04-27T17:26:00,0.0,0.0,0.0,7.0,9.0,10.0,29.4,45.7
node_01,2026-04-27T17:27:01,0.0,0.0,0.0,7.0,9.0,10.0,29.4,45.7
node_01,2026-04-27T17:28:07,0.0,0.0,0.0,7.0,9.0,10.0,29.4,45.7
node_01,2026-04-27T17:29:14,0.0,0.0,0.0,7.0,9.0,10.0,29.4,45.6
